Name of application;Domains;Website;Where it works;TRL level;Disease;Link AppStore;Link Google Play;Icon App Link;Description
Fooducate;managing diabetes;https://www.fooducate.com/;Web, Android & iOS;around TRL 9;Diabet;https://apps.apple.com/us/app/fooducate-nutrition-coach/id398436747?ign-mpt=uo%3D4;https://play.google.com/store/apps/details?id=com.fooducate.nutritionapp&referrer=utm_source%3Dfdct-redirect%26utm_campaign%3DFdct-Web-footer- button%26utm_medium%3Dna;https://play-lh.googleusercontent.com/K6XcN9cgvbA78NSmz_HxTDULnubeV1CncxIz9iIzwP6czbL0DronQFBLyNOAAPV95KI=s48-rw;With Fooducate, you can track your calories, macros and workouts, plus motivate yourself, share diet tips and recipes with a community of health and wellness enthusiasts.
FreeStyle Libre;Checking diabetes with sensors;https://www.freestyle.abbott/us-en/home.html;iOS, Android, Website;9;Diabet;https://apps.apple.com/us/app/freestyle-librelink-us/id1325992472;https://play.google.com/store/apps/details?id=com.freestylelibre.app.in&hl=en_US;https://play-lh.googleusercontent.com/gilpHvYJPp9KzkUztYKdexP5YUDafv7QMXzoSgTVafhLX1cpbbC_bAZuoMwSn11ohoA=w240-h480-rw;Continuous glucose monitoring system.
Glooko;Digital Health and Health Technology;https://glooko.com/;Web, Android & iOS;TRL 8;Diabet;Glooko - Track Diabetes Data on the App Store;Glooko - Track Diabetes Data - Apps on Google Play;https://play-lh.googleusercontent.com/kKOdoOk8R_2L8buupE0GrhY-CyOamTlLtqdfPqACdIITudBTY5-R8mEm2n6JReGJzwc=w240-h480-rw;Glooko is a comprehensive diabetes management app that simplifies tracking and analyzing blood glucose levels, insulin usage, and lifestyle data. The app seamlessly integrates with various diabetes devices and health apps, providing personalized insights and reports to help users manage their diabetes effectively.
Glucose Buddy;Manage patient blood glucose levels and overall health;https://www.glucosebuddy.com/  ;Web, Android & iOS;TRL 9;Diabet;https://apps.apple.com/us/app/glucose-buddy-diabetes-tracker/id294754639   ;https://play.google.com/store/apps/details?id=com.skyhealth.glucosebuddyfree   ;https://play-lh.googleusercontent.com/YP-NzzU7kFVfIzmgWE_6lkYIopQ6-OZPnbSaJe-nAyfqLSw6ViIyMZQbO9zAE5r86yi-=w240-h480-rw   ;The app provides tools for tracking blood glucose, medications, diet, and exercise, along with offering insights to improve diabetes management.
Happier;support;https://www.happier.com/ ;Web & Android;around TRL 9;Mental Health;-;https://play.google.com/store/apps/details?id=com.thehappierapp ;https://play-lh.googleusercontent.com/YDgrrR3MJJqsiXjBLgpmhkP31DfuXuYjt2VMWTKwD8ctdXpgGZZzMAccjfTiogK-IBDP=s48-rw ;It is a mental well-being app designed to help users build habits and cultivate a positive mindset. It offers a range of features aimed at improving mental health through evidence-based practices.
Happify;mental well-being improvement;https://www.happify.com/ ;Web, Android & iOS;TRL 9;Mental Health;https://apps.apple.com/us/app/happify-for-stress-worry/id730601963 ;https://play.google.com/store/apps/details?id=com.happify.happifyinc;https://play-lh.googleusercontent.com/bfbLhvRgAMv9He3LPJ_CLxseZSwzU-RejqilZls4r63LGj2DCg9ZtUy8uL_HYtyw6sse=w240-h480-rw ;Happify is a digital platform designed to improve mental well-being through scientifically grounded activities and games. The app uses positive psychology, cognitive behavioral therapy (CBT), and mindfulness techniques to help users build resilience and manage stress, anxiety, and depression.
Headspace;Meditation, Mindfulness and Sleep;https://www.headspace.com/;Web, Android & iOS;around TRL 9;Mental Health;https://apps.apple.com/us/app/headspace-sleep-meditation/id493145008;https://play.google.com/store/apps/details?id=com.getsomeheadspace.android&hl=en_US;https://play-lh.googleusercontent.com/y6ZZo_LKpI8sBXAHb9TMSfgoY96yVU0ecumaOb8hckSdvDzdssiQd2QW1cx1CrjvA4bQ=s48-rw;Stress less, sleep deeper, and feel happier with expert guided meditations, one-on-one mental health coaching and daily mindfulness exercises.
Health Mate;Cardiovascular Health;https://www.withings.com/us/en/withings-app;iOS, Android, Website;9;Cardio;https://apps.apple.com/us/app/withings-health-mate/id542701020;https://play.google.com/store/apps/details/Withings_Health_Mate?id=com.withings.wiscale2&hl=en_NZ;https://play-lh.googleusercontent.com/dkCJUDoyVfq-9ZE4NrX_gRqu_kTuyf3F0LGPb7ybt_pQCCnWXD2BojizznpqMbJEbQ=w240-h480-rw;Tracks health metrics like heart rate, sleep, weight, and more.
Health2Sync;Diabetes Management;https://www.health2sync.com/;iOS, Android, Website;8;Diabet;https://apps.apple.com/us/app/health2sync-diabetes-tracker/id806136243;https://play.google.com/store/apps/details?id=com.h2sync.android.h2syncapp&hl=en;https://play-lh.googleusercontent.com/p7TAEk4xKGZX8leBLG1DgqIiHv69IRU7K58ygaC1thnVxkIRFQkKNrDzJqYpzuajRA=w240-h480-rw;Diabetes management app for logging blood glucose, medications, and diet.
Healthentia;Patient Health Monitoring,  Personalized Healthcare;https://healthentia.com/;iOS, Android, Website;7;Cancer;https://apps.apple.com/us/app/healthentia/id1491757656;https://play.google.com/store/apps/details?id=com.innovationsprint.healthentia&hl=en_US;https://is1-ssl.mzstatic.com/image/thumb/Purple211/v4/f5/79/58/f57958c1-7ba9-3611-f8b3-d26c48c60d69/Healthentia-0-0-1x_U007emarketing-0-7-0-85-220.png/246x0w.webp;Healthentia is a digital health platform for patient monitoring and personalized healthcare, supporting clinical trials and cancer prevention.
HealthTap;telehealth virtual healthcare;https://www.healthtap.com/;Web, Android & iOS;around TRL 9;Prevention;https://apps.apple.com/us/app/healthtap-primary-care-doctors/id466079030?mt=8;https://play.google.com/store/apps/details?id=com.healthtap.userhtexpress&hl=en_US&gl=US&deep_link_value=https%3A%2F%2Fwww.healthtap.com%2Fmember%3Futm_source%3Dht_page%26utm_medium%3Dwebsite%26utm_campaign%3Dguest%26utm_content%3Dhttps%3A%2F%2Fwww.healthtap.com%2F&pid=ht_page&c=guest;https://play-lh.googleusercontent.com/zah40Ha30crRdZgippl-8u813f8gL6xZl9LkC-3sFC8gGLCH_uebtqD1OvpJZW3yt8M=s48-rw;HealthTap is a telehealth app that revolutionizes primary care by providing ongoing, affordable care with a dedicated, online primary care doctor you love.
Heart Failure Health Storylines;chronic disease management, symptom tracking;https://www.healthstorylines.com/ ;Web & Android;between TRL 8 & TRL 9;Cardio;-;https://play.google.com/store/apps/details?id=com.selfcarecatalyst.hsresearch ;https://play-lh.googleusercontent.com/-j8GxcpqTbkR7du2bdeLPxETevED7k8Fi-CyFzCAdSbpnWQv2DdfOns9yw4-6b1oog=w240-h480-rw ;It is a comprehensive platform developed to improve the quality of life for individuals with heart failure. It aims to support patients in their daily management of the condition by providing personalized insights, monitoring tools, and educational resources. The platform is designed to integrate with healthcare providers' workflows and enhance communication between patients and their care teams.
HeartFlow;Cardiovascular Health;https://www.heartflow.com/;Web & iOS;7-8;Cardio;https://apps.apple.com/us/app/heartflow/id994343238;-;https://is1-ssl.mzstatic.com/image/thumb/Purple116/v4/49/0c/53/490c53d7-7471-00cd-7b5f-8e738d757820/AppIcon-1x_U007emarketing-0-4-0-85-220.png/246x0w.webp;HeartFlow offers a non-invasive imaging solution that uses CT data to create a 3D model of the coronary arteries. It helps in diagnosing coronary artery disease and assessing the impact of blockages on heart function.
Heartify;CVD;https://dan.com/buy-domain/heartify.co?redirected=true;Web & IOS;TRL 7;Cardio;https://apps.apple.com/us/app/heartify-heart-health-monitor/id1546156891;-;https://is1-ssl.mzstatic.com/image/thumb/Purple221/v4/55/d9/b6/55d9b6e2-59e5-d59a-6733-8f9e84601f96/AppIcon-1x_U007ephone-0-9-0-0-sRGB-GLES2_U002c0-85-220-0.png/246x0w.webp;Heartify helps users track their heart health metrics, including blood pressure and heart rate. It provides insights into cardiovascular health trends and recommendations for lifestyle changes to improve heart health.
iHealth MyVitals:;CVD;https://ihealthlabs.com/;Web, Android & iOS;TRL 8;Cardio;https://apps.apple.com/us/app/ihealth-myvitals/id1532014748;https://play.google.com/store/apps/details?id=com.ihealthlabs.MyVitalsPro&hl=en_US;https://is1-ssl.mzstatic.com/image/thumb/Purple211/v4/7b/75/82/7b7582b3-e384-3508-ff7c-f72079a206c2/AppIcon-0-0-1x_U007emarketing-0-10-0-0-85-220.png/246x0w.webp;iHealth MyVitals is designed to help users track vital health metrics, including blood pressure, heart rate, and weight. The app syncs with iHealth's range of health monitoring devices and provides detailed reports and trends to help users manage their cardiovascular health.
Insight Timer;Mental Health;https://insighttimer.com/;Web, Android & iOS;TRL 8;Mental Health;Insight Timer–Meditate & Sleep on the App Store;Insight Timer - Meditation App - Apps on Google Play;https://is1-ssl.mzstatic.com/image/thumb/Purple211/v4/d9/45/38/d94538fe-2003-dd60-2b5d-daa346ac91c5/AppIcon-0-0-1x_U007emarketing-0-7-0-85-220.png/246x0w.webp;Insight Timer offers a large library of free guided meditations, music tracks, and talks by mindfulness experts. It includes features for meditation practice, sleep aid, and stress relief, with a community aspect where users can connect with others on similar journeys.
Instant Heart Rate;heart rate monitoring;https://www.instantheartrate.com/ ;Web, Android & iOS;TRL 8;Cardio;https://apps.apple.com/us/app/instant-heart-rate-hr-monitor/id409625068 ;https://play.google.com/store/apps/details?id=si.modula.android.instantheartrate ;https://play-lh.googleusercontent.com/NnmvgHsO6G2crYFDv7zZ0yQ9Ik2YUGt7c8ZchSNMtvYdGkAqE3I4hQsczBqwwllciw=s48-rw ;It is a popular mobile app designed to measure and monitor heart rate using a smartphone's camera and flash. Developed by Azumio, the app provides users with a convenient and non-invasive way to track their heart rate in real-time.
iRhythm;Cardiovascular Health;https://www.irhythmtech.com/;Web, Android  & iOS;8;Cardio;https://apps.apple.com/us/app/myzio/id975444227;https://play.google.com/store/apps/details?id=com.irhythm.myzio.android&hl=en_US;https://play-lh.googleusercontent.com/gyJzQEDLo-eGYfppETMBLR1TasSjhNd8T0IYrq7slc-MQTRfjp2wjCESubPwMh1ypMDi=w240-h480-rw;The Zio Patch by iRhythm is a wearable ECG monitor that continuously records heart rhythms for up to 14 days. It is used for the diagnosis and monitoring of arrhythmias, providing detailed reports to healthcare providers.
Kaia COPD: Meine aktive COPD Therapie;Other specified chronic obstructive pulmonary disease, Chronic obstructive pulmonary disease, unspecified;-;Android & iOS;TRL 8;Prevention;https://apps.apple.com/de/app/kaia-copd/id1341936904;https://play.google.com/store/apps/details?id=com.kaiahealth.copd;https://play-lh.googleusercontent.com/EgTEG7Olep0gqkGP1M38ALglK1EyUZNV3HrMOp6az3J-aG6gZVfbpl25X0RhNlO8PgI=w240-h480-rw;We support you in your everyday life with a digital therapy program that you can use anytime, anywhere, without stressful travel or waiting times.
KardiaMobile;Cardiovascular Health;https://kardia.com/kardiamobile;Web, Android  & iOS;8;Cardio;https://apps.apple.com/us/app/kardia/id579769143;https://play.google.com/store/apps/details?id=com.alivecor.aliveecg&hl=de;https://play-lh.googleusercontent.com/WYIp8_w9gWcg_cnDiCWX_WgVxTp9w6ZrEkCVUxN-EBQOYVOcnsXtJ5c7Sipwd8bqv8g=w240-h480-rw;KardiaMobile is a portable ECG device that allows users to record their heart rhythms and detect atrial fibrillation (AFib) and other arrhythmias. The data can be shared with healthcare providers for remote monitoring and management.
Klinio;Diabetes Management;https://klinio.com/;iOS, Android, Website;7;Diabet;https://apps.apple.com/us/app/klinio-health-weight-loss/id1511958049;https://play.google.com/store/apps/details?id=diet.mydiabetes&hl=ro;https://play-lh.googleusercontent.com/3ZmuUG0Va8mB8wgsJdwUKvUHKaQ0oKfd2xjPgn6OQH5qbQ1GcGIvgkvC_NhdusDJSqY=w240-h480-rw;Personalized diabetes management plan and tracking.
Lark Health;Diabetes Prevention, Weight Management;https://www.lark.com/;iOS, Android, Website;8;Prevention;https://apps.apple.com/us/app/lark-health/id912530754;https://play.google.com/store/apps/details?id=com.lark.meadowlark2&hl=ro;https://play-lh.googleusercontent.com/TLNX086IgQFkKodQH-MAcjcMdNhzGWKGU74Scq4uda2zwgim_BchzfOQTgMQcB5kr_O_=w240-h480-rw;AI health coach for managing weight and chronic conditions.
LibreLink;Real-Time Glucose Reading, Alerting;https://librelinkup.com/;Web, Android & iOS;TRL 8;Diabet;FreeStyle LibreLink - US on the App Store;FreeStyle LibreLink - US – Aplicații pe Google Play;https://is1-ssl.mzstatic.com/image/thumb/Purple211/v4/6a/d9/90/6ad9909b-1c91-3a95-b3dd-c7d81e19e9ca/AppIconFSLL-1x_U007emarketing-0-5-0-sRGB-0-85-220-0.png/246x0w.webp;This app works with the FreeStyle Libre glucose monitoring system. It allows users to scan their Libre sensor with their smartphone to get real-time glucose readings and trends. The app helps users manage their diabetes by providing detailed glucose data, alerts for high or low glucose levels, and trends to better understand their glucose patterns.
Life360;Prevention;https://life360.com/;Web, Android & iOS;TRL 8;Prevention;https://apps.apple.com/us/app/life360-find-friends-family/id384830320;https://play.google.com/store/apps/details?id=com.life360.android.safetymapd&hl=ro;https://is1-ssl.mzstatic.com/image/thumb/Purple221/v4/54/ab/27/54ab271d-a848-04b8-247a-e552d86e13fd/AppIcon-0-0-1x_U007ephone-0-0-85-220.png/246x0w.webp;A family safety app that provides location tracking, driving reports, and emergency alerts. It helps prevent accidents and enhances family safety through real-time location sharing and alerts.
Lifesum;nutrition and diet tracking, exercise and activity tracking, personalized goals and recommendations;https://lifesum.com/ ;Web, Android & iOS;between TRL 8 & TRL 9;Prevention;https://apps.apple.com/us/app/lifesum-diet-and-food-tracker/id286906691 ;https://play.google.com/store/apps/details?id=com.sillens.shapeupclub ;https://play-lh.googleusercontent.com/EksxpCD83ryNH0jAur3xxfseKV2cCU3hClEkdem0gG7IEOcET-nUNreoz2XsKfnX1cw=w240-h480-rw ;It is a mobile app designed for health and wellness management, focusing on nutrition, diet tracking, and lifestyle improvements. It offers tools to help users make healthier choices, achieve their fitness goals, and maintain a balanced diet.
LivingWith: Cancer Support;Health and Cancer Care;https://www.thisislivingwithcancer.com/;Web, Android & iOS;9;Cancer;https://apps.apple.com/us/app/livingwith-cancer-support/id1223073769;https://play.google.com/store/apps/details?id=com.pfizer.us.livingwith&hl=en_US;https://play-lh.googleusercontent.com/iZuHnQ8SCaT_DmFnrCH6oZFUZliSUeN03p-z7NlbhtenD5UFj7Ah4Jd-fitwL0uesen3=w240-h480-rw;It helps patients manage life with cancer.
Features: Symptom tracking, activity planning, sharing updates with family and friends.
Livongo;Diabetes Management, Chronic Disease Management;https://www.livongo.com/;Web, Android & iOS;8;Diabet;https://apps.apple.com/us/app/livongo/id991595088;https://play.google.com/store/apps/details?id=com.livongo.lvmobility&hl=ro;https://play-lh.googleusercontent.com/1rxMpalqz-8QE1nUULQ6cUi5LGoQfnSp-qGb_SkvuXX2eTsHYL_in0qlRAX9zqFYpSs=w240-h480-rw;Livongo offers a platform that combines devices, data, and personalized coaching to help users manage chronic conditions like diabetes and hypertension. It provides real-time feedback and support through digital tools.
Lose it!;Weight Loss, Nutrition;https://www.loseit.com/;iOS, Android, Website;8;Diabet;https://apps.apple.com/us/app/lose-it-calorie-counter/id297368629;https://play.google.com/store/apps/details?id=com.fitnow.loseit&hl=en;https://play-lh.googleusercontent.com/eQXGwwKkSAqezH7nicdMhsM7BfUf29XQFtPbJLdOH81Grtk8ylKqZGISzcWcSddgcWs=w240-h480-rw;Weight loss and calorie counting app.
MapMyRun;activity tracking,  performance metrics, goal setting and training plans;https://www.mapmyrun.com/ ;Web, Android & iOS;between TRL 8 & TRL 10;Prevention;https://apps.apple.com/us/app/map-my-run-by-under-armour/id291890420 ;https://play.google.com/store/apps/details?id=com.mapmyrun.android2 ;https://play-lh.googleusercontent.com/AKJpG5oMquwDZEjCrDDamDlsKyRZ4jWi62pxFDaA9RstyoH1rik273n2EpRcqka56kw=w240-h480-rw ;It is a mobile app designed for tracking running and walking activities. Developed by Under Armour, it provides users with tools to monitor their workouts, analyze performance, and connect with a community of fitness enthusiasts.
Maven;Women’s Healthcare;https://www.mavenclinic.com/;Web, Android & iOS;around TRL 9;Prevention;https://apps.apple.com/us/app/maven-clinic/id942543121?c=footer-badge&pid=Maven-web;https://play.google.com/store/apps/details?id=com.mavenclinic.android.member&hl=en_US;https://play-lh.googleusercontent.com/yGXgPTzJU3dWNVJbswK7NA-wUdUT6gqQLKf9UgCJZ9zQcKU_Xfp_GJC_41Wtc7T8q8Q=w240-h480-rw;From family building and fertility to pregnancy, parenting, and menopause, we’ve got you covered with 24/7 care.
Mayo Clinic;Monitoring;https://www.mayoclinic.org/apps/mayo-clinic;Web, Android & iOS;9;Prevention;https://apps.apple.com/us/app/mayo-clinic/id523220194;https://play.google.com/store/apps/details?id=com.mayoclinic.patient&hl=en%27;https://play-lh.googleusercontent.com/njFPJ2RaXTAgH_vUYOzgdSyqFmzGQrtvfGUVaJUwIyICp4Fu-_u0fyr94_1eIUb_KQ3Y=w240-h480-rw;Mayo Clinic is a valuable tool for those who want to access health information, monitor their health status, or manage their medical care.
MDCalc;medical calculator;https://www.mdcalc.com/;Web, Android & iOS;around TRL 9;Prevention;https://apps.apple.com/us/app/mdcalc-medical-calculator/id1001640662;https://play.google.com/store/apps/details?id=com.mdaware.mdcalc&hl=en;https://play-lh.googleusercontent.com/yNDRYk9DVQw7lt-6zp325yP_K0P0lvDu65QzaqZeVi6EtS1EHlPnWMOJ6dwxQu2nO0s=w240-h480-rw;Since 2005, MDCalc has been the leading medical reference for the most relevant, up-to-date and widely-used clinical calculators that support evidence-based patient care.
Medical ID;medical emergencies;https://medicalid.app/;Web, Android & iOS;around TRL 9;Prevention;https://apps.apple.com/au/app/myid-medical-id-profile/id641388921;https://play.google.com/store/apps/details?id=app.medicalid.free;https://play-lh.googleusercontent.com/gC9g-mOzdek53eBV6jgaG3gNswJ0PPuUF5_JJTuBvDu0Hd8XTWWue6Q_upwU0MoP2vM=w240-h480-rw;Medical ID enables the creation of accessible emergency profiles with vital health information and location sharing for first responders and medical personnel from the lock screen.
Medisafe;Medication Reminder;https://www.medisafe.com/;Web, Android & iOS;around TRL 9;Prevention;https://apps.apple.com/us/app/medisafe-medication-management/id573916946;https://play.google.com/store/apps/details?id=com.medisafe.android.client&hl=en_US;https://play-lh.googleusercontent.com/vD1dTDEFNEiPJBdwUnz3WS2sVKFwXQevwOc7X2O73q1qyHZJPJyatKXrHEb-br6HPSM=s48-rw;Get the free “MUST HAVE” award-winning pill reminder and medication tracker ranked #1 by pharmacists, physicians and patients.
Medscape;medical news source (drugs, diseases, clinical tools, live events, medical podcasts, lastests news, perspectives, consult, CME & education);https://www.medscape.com/public/medscapeapp;Web, Android & iOS;TRL 9;Prevention;https://apps.apple.com/us/app/medscape/id321367289;https://play.google.com/store/apps/details?id=com.medscape.android;https://play-lh.googleusercontent.com/DHsn5m0iPY9OHap91ig9bfcf6oR2APnPhSK_t-lO15pysHSenLtfsl0BVSbufmLelrLh=w240-h480-rw;With Medscape, you have free access to the latest news, expert commentary, clinical tools, drug and disease information, medical podcasts, CME/CE activities and more.
MFHP: Cancer;Prevention;https://keepitsacred.itcmi.org/my-family-health-portrait-cancer-mobile-app/;Web, Android & iOS;TRL 8;Prevention;https://apps.apple.com/ro/app/mfhp-cancer/id1594196010;https://play.google.com/store/apps/details?id=gov.cdc.brca;https://play-lh.googleusercontent.com/WLr5AHR2WagSomHwT4ufHENnviS_0fw2v72KHPXIwXCC91sh6Ha9LRzuBk4yLcre_5rb=w240-h480-rw;MFHP: Cancer is a prevention app that helps users reduce cancer risk through lifestyle recommendations, educational resources, and early detection tools. It focuses on proactive measures for maintaining health and preventing cancer.
Migraine Buddy: Track Headache;medical tracker headache;https://migrainebuddy.com/;Web, Android & iOS;around TRL 9;Prevention;https://apps.apple.com/us/app/migraine-buddy-track-headache/id975074413;https://play.google.com/store/apps/details?id=com.healint.migraineapp;https://play-lh.googleusercontent.com/1RMV6xQ9GO4CqUUEYrCx57G8oySaath2_zzFU3MVcqwRomGM2iNt-kPzlIwMvivcQYFP=w240-h480-rw;Migraine Buddy is your ultimate partner to: identify patterns, maximize your medical consultations, share experiences, chat with other users in our thriving community.
Mindable: Panikstörung und Agoraphobie;Agoraphobia, Panic disorder [episodic paroxysmal anxiety];-;Android & iOS;TRL 8;Mental Health;https://apps.apple.com/de/app/mindable-panik-agoraphobie/id1465386878;https://play.google.com/store/apps/details?id=health.mindable.anxiety;https://play-lh.googleusercontent.com/mJAlex0QMVRLFac77puibS0ifciduCz8IOiJ3sTr5G8YgUj3MKzpHhX2tFnynfJgesSF=w240-h480-rw;Mindable is a behavioral app for the treatment of panic disorders and agoraphobia and is available with a prescription / therapeutic (prescription app).
Mindable: Soziale Phobie;Social phobias;-;Android & iOS;TRL 8;Mental Health;https://apps.apple.com/de/app/mindable-soziale-phobie/id1567966561;https://play.google.com/store/apps/details?id=health.mindable.social;https://play-lh.googleusercontent.com/zIIEN_fUPOAjheXg0ypzBiP77Tfx3UAeEpzGZUmPpR9hF8hWZo6rfBn8yRpq5dUDq4Rc=w240-h480-rw;Mindable: Social Phobia is a digital health app (DiGA) for the treatment of social anxiety disorder. The application is available on prescription from doctors and psychotherapists and is reimbursed by all German health insurances.
MindDoc Auf Rezept;depressive episodes, Recurrent depressive disorder;-;Android & iOS;TRL 8;Mental Health;https://apps.apple.com/de/app/minddoc-auf-rezept/id1608331918;https://play.google.com/store/apps/details?id=de.minddoc.diga;https://play-lh.googleusercontent.com/iyTkouW6cOwhWw11-vewipQUmRAlZDm2kaNYm3tNrYWvX6_A-ePdh9Phqb4Q1Q8RcsDB=w240-h480-rw;MindDoc with Prescription is a self-monitoring and self-management app that helps you cope with depression and other mental illnesses, including anxiety, insomnia and eating disorders.
MindShift CBT;emotional support;https://www.anxietycanada.com/resources/mindshift-cbt/ ;Web, Android & iOS;TRL 8;Mental Health;https://apps.apple.com/us/app/mindshift-cbt-anxiety-relief/id634684825 ;https://play.google.com/store/apps/details?id=com.bstro.MindShift ;https://play-lh.googleusercontent.com/RfTRnc8WRXieNrbQ_-FtWqJM908sPTSbFq8FOVpmLBsYz0V3N_UVjDcCbJ7mTN-wNKY2=w240-h480-rw ;It is a popular app designed to help users manage anxiety and stress using Cognitive Behavioral Therapy (CBT) techniques.
Moodfit ;Mental Health ;https://www.getmoodfit.com/;Web, Android & iOS;TRL 8;Mental Health;Moodfit: Mental Health Fitness on the App Store;Moodfit: Mental Health Fitness – Aplicații pe Google Play;https://play-lh.googleusercontent.com/pqsec82TIrTewLCUmveC7fZidAOmI4O33xOmx5zgn2HTe6ujBEV59Hisd_J7SbIZFoA=w240-h480-rw;Moodfit is a mental health app designed to help users improve their emotional well-being. It offers tools and exercises for tracking mood, practicing mindfulness, setting goals, and developing positive habits. With personalized insights and progress reports, Moodfit supports users in managing stress, anxiety, and depression to achieve better mental health.
Moodpath;support;https://minddoc.com/us/en;Web, Android & iOS;TRL 9;Mental Health;https://apps.apple.com/us/app/minddoc-mental-health-support/id1052216403 ;https://play.google.com/store/apps/details?id=de.moodpath.android ;https://play-lh.googleusercontent.com/TAzDmCSOjALzwyItk-3vczi34Gt7ef6vI63KQr_qY82iQXzcn6tTTqvcbUsP2KcXieY=w240-h480-rw ;It is a mental health and mood-tracking app designed to help users monitor their emotional well-being and provide insights into their mental health.
My Journey BCNA;Patient Support and Breast Cancer Management;https://myjourney.org.au/;Web, Android & iOS;9;Cancer;https://apps.apple.com/au/app/my-journey-bcna/id1549503272;https://play.google.com/store/apps/details?id=com.bcna.myjourney&hl=en_US;https://play-lh.googleusercontent.com/0FnsnE8M4tgpnAFZ0BWIzH0WymrsaTe5_T2KHGtLhHQUSDo9J9TwaLSmiSQf1Jm_DuyP=w240-h480-rw;It provides tools to monitor treatment and symptoms.
Features: Symptom journal, treatment calendar, notes for consultations.
My7steps App;depressive episodes, Recurrent depressive disorder;https://diga.my7steps.org/;Web App;TRL 8;Mental Health;-;-;https://diga.bfarm.de/images/my7steps-app-2548.jpeg;The medical device My7steps app is a web-based intervention to reduce psychological problems. It is a low-threshold offer for people who have psychosocial difficulties and problems coping with their everyday lives.
Mychart;Patient Portal App;https://www.mychart.org/;Web, Android & iOS;around TRL 9;Prevention;https://apps.apple.com/us/app/mychart/id382952264;https://play.google.com/store/apps/details?id=epic.mychart.android&hl=en;https://play-lh.googleusercontent.com/YPtBGr6THchfNi4KIo9P4A5TePEia_daTtMtsqwsURjYqngsLCRV1-NUah09z0kcBXs=w240-h480-rw;MyChart puts your health information in the palm of your hand and helps you conveniently manage care for yourself and your family members.
MyDataHelps;medical guide;https://mydatahelps.org/identityserver/local/participant?signInId=adfacf27d9bda2a1982795fa262c4b73#/splash;Web, Android & iOS;TRL 9;Prevention;https://apps.apple.com/us/app/mydatahelps/id1286789190;https://play.google.com/store/apps/details?id=com.careevolution.mydatahelps;https://play-lh.googleusercontent.com/NvRkVn1T5D1rjUryUdsn74p3TzfzesXER8SijXnwKezppm5m9OvwafeSx0jr4QF4uw=w240-h480-rw;Connect data from Google Fit and Fitbit, retrieve medical records and participate in health projects.
MyFitnessPal;health tracking;https://www.myfitnesspal.com/;Web, Android & iOS;around TRL 9;Prevention;https://apps.apple.com/ms/app/myfitnesspal-calorie-counter/id341232718;https://play.google.com/store/apps/details?id=com.myfitnesspal.android&hl=en_US;https://play-lh.googleusercontent.com/DtR_W1lA1tKsbrr2DUo3TLNzqi9qRyxPqDuCyJeGLU6OMJKqg7CEqs45btRqvDFNDI3Y=s48-rw;Track progress toward your health, nutrition, fitness, and weight loss goals with MyFitnessPal.
MyHeart Counts;cardiovascular health improvement;https://med.stanford.edu/myheartcounts.html ;Web & iOS;TRL 8;Cardio;https://apps.apple.com/us/app/myheart-counts/id972189947;-;https://is1-ssl.mzstatic.com/image/thumb/Purple114/v4/c2/6d/ba/c26dbad1-8e68-3cc4-ae1a-95ba242ee99b/AppIcon-0-0-1x_U007emarketing-0-0-0-4-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/230x0w.webp ;It is a mobile app developed by researchers at Stanford University, designed to help users improve their cardiovascular health through tracking and personalized insights. The app focuses on providing users with tools and information to assess and enhance their heart health.
MyNetDiary Diabetes Tracker;Assist individuals in managing diabetes;https://www.mynetdiary.com/  ;Web & Android;TRL 8;Diabet;-;https://play.google.com/store/apps/details?id=com.fourtechnologies.mynetdiary.diabetes  ;https://play-lh.googleusercontent.com/9EXPE7wCzMCabiu0OwMQeQef1YdQgEbqK0e8No6FKMewCkj48a3v2SPoW5yr5oNy_Jk=w240-h480-rw  ;It offers tools for tracking blood glucose levels, diet, medications, and physical activity. The app provides personalized insights and data analysis to help users understand their health trends and make informed decisions.
MySugr;diabetes management;https://www.mysugr.com/en/;Web, Android & iOS;around TRL 9;Diabet;https://apps.apple.com/us/app/mysugr-diabetes-tracker-log/id516509211?mt=8;https://play.google.com/store/apps/details?id=com.mysugr.android.companion;https://play-lh.googleusercontent.com/tccdMLa0P8K3w_wDKNqp6ZnXM2BfwpDPNBRWU60Tk5jlar3pCNX8MRo-oD1t74ajUQ=w240-h480-rw;Get help managing your diabetes, it's quick and easy!Ranked 3 times by Healthline as the best diabetes app.
mySymtomps Tracker;medical nutrition;https://www.mysymptoms.net/;Web, Android & iOS;TRL 9;Prevention;https://apps.apple.com/gb/app/mysymptoms-food-diary/id405231632;https://play.google.com/store/apps/details?id=com.sglabs.mysymptoms;https://play-lh.googleusercontent.com/6dFV86MWcfobhBx2sRmdCfEIEwGve8Dd6jRzcjE5ww0HN2Fr8BCC-9IrAdXd12dYXckr=w240-h480-rw;mySymptoms helps you understand your health by tracking your diet and symptoms and sharing your diary with your doctors.
